player_name,team,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
Jason Steele,Brighton,114,107,114,0,0,0,114,0,0,,0,,91,361,151,0,0,0,0,0,83,0
Solly March,Brighton,118,3,12,33,73,7,118,4,1,25.0,3,75.0,57,398,167,5,2,3,3,1,67,20
Billy Gilmour,Brighton,73,2,14,46,13,0,73,2,1,50.0,1,50.0,44,210,117,2,0,0,0,0,58,2
Eiran Cashin,Brighton,32,2,10,20,2,0,32,1,0,0.0,1,100.0,21,133,99,0,0,0,0,0,25,1
Jakub Moder,Brighton,27,2,7,12,9,1,27,0,0,,0,,13,93,62,2,3,0,0,0,14,0
Jeremy Sarmiento,Brighton,8,0,0,6,2,0,8,0,0,,0,,6,61,10,0,0,0,1,0,7,2
Squad Total,Brighton,22373,2487,7171,9737,5721,983,22367,762,320,42.0,372,48.8,13181,72627,39410,766,542,242,552,332,14730,1416
Opponent Total,Brighton,20997,2739,8225,8769,4208,828,20989,755,341,45.2,328,43.4,11713,60920,29662,569,331,227,476,332,13443,1142
Moisés Caicedo,Chelsea,2471,92,538,1513,447,15,2471,60,27,45.0,20,33.3,1359,6561,3177,40,34,2,37,24,1722,35
Cole Palmer,Chelsea,1756,20,141,786,851,138,1751,111,51,45.9,44,39.6,1109,7510,3569,111,69,39,64,34,1293,175
Levi Colwill,Chelsea,2786,364,1314,1353,131,35,2786,10,6,60.0,4,40.0,1572,7187,3934,14,12,1,14,8,2031,11
Marc Cucurella,Chelsea,2134,111,648,988,508,74,2134,13,4,30.8,7,53.8,907,3920,2293,35,20,2,26,6,1327,113
Enzo Fernández,Chelsea,2121,36,330,1078,728,80,2121,52,25,48.1,19,36.5,1170,5444,2652,59,54,9,27,27,1563,122
Robert Sánchez,Chelsea,1254,924,1242,12,0,0,1254,0,0,,0,,839,4180,2651,0,0,0,0,0,782,0
Nicolas Jackson,Chelsea,687,19,50,285,361,141,687,61,18,29.5,32,52.5,417,2510,1316,47,25,32,71,41,514,129
Noni Madueke,Chelsea,894,20,92,262,555,174,894,91,40,44.0,41,45.1,593,4961,3192,144,47,88,47,24,689,214
Pedro Neto,Chelsea,1082,13,99,315,685,111,1082,99,33,33.3,42,42.4,705,5948,3122,119,54,43,42,26,788,241
Malo Gusto,Chelsea,1585,62,383,768,447,43,1585,16,4,25.0,11,68.8,878,4461,2214,49,35,8,16,17,1068,84
Jadon Sancho,Chelsea,943,11,115,271,567,121,943,96,45,46.9,39,40.6,635,4359,2399,100,33,57,29,21,738,221
Wesley Fofana,Chelsea,933,81,370,523,55,10,933,15,8,53.3,3,20.0,557,3149,1614,19,12,1,16,5,665,4
Tosin Adarabioyo,Chelsea,1198,160,570,603,26,13,1198,5,4,80.0,0,0.0,713,2950,1690,5,2,0,3,0,916,1
Trevoh Chalobah,Chelsea,774,73,331,389,59,12,774,5,2,40.0,1,20.0,426,1753,772,4,5,1,3,2,574,2
Roméo Lavia,Chelsea,480,16,105,312,69,1,480,14,9,64.3,5,35.7,288,1315,535,3,9,0,3,7,348,7
Reece James,Chelsea,808,34,219,444,150,6,808,16,6,37.5,6,37.5,421,1683,762,6,4,0,6,5,516,12
Christopher Nkunku,Chelsea,448,10,52,183,217,52,448,27,10,37.0,14,51.9,280,1368,628,17,16,13,18,17,356,68
Filip Jørgensen,Chelsea,202,174,201,1,0,0,202,0,0,,0,,145,676,423,0,0,0,0,0,139,0
Axel Disasi,Chelsea,323,17,110,175,40,2,323,1,1,100.0,0,0.0,196,953,519,6,3,0,1,3,242,2
João Félix,Chelsea,272,2,26,128,125,30,272,31,10,32.3,14,45.2,193,1248,712,21,13,5,6,4,218,30
Benoît Badiashile,Chelsea,336,31,138,186,13,0,336,1,0,0.0,1,100.0,177,660,340,3,5,0,1,0,247,2
Kiernan Dewsbury-Hall,Chelsea,181,4,28,95,58,6,181,4,2,50.0,2,50.0,93,474,221,5,1,0,1,3,137,11
Joshua Acheampong,Chelsea,137,7,48,81,8,3,137,2,1,50.0,0,0.0,106,709,409,0,2,0,2,0,111,0
Renato Veiga,Chelsea,167,2,61,82,27,3,167,5,3,60.0,2,40.0,85,417,144,4,5,1,1,0,110,3
Mykhailo Mudryk,Chelsea,62,3,12,15,38,6,62,8,3,37.5,5,62.5,39,468,227,7,8,0,3,7,42,12
Tyrique George,Chelsea,56,1,10,14,33,8,56,4,3,75.0,1,25.0,38,348,208,9,1,5,1,0,44,18
Marc Guiu,Chelsea,22,0,2,8,12,3,22,1,0,0.0,1,100.0,12,30,8,0,0,0,2,0,12,3
Mathis Amougou,Chelsea,9,1,2,4,3,0,9,0,0,,0,,7,25,5,0,1,0,0,1,6,0
Shumaira Mheuka,Chelsea,2,0,0,0,2,1,2,0,0,,0,,1,0,0,0,0,0,0,0,2,0
Squad Total,Chelsea,24123,2288,7237,10874,6215,1088,24118,748,315,42.1,314,42.0,13961,75267,39736,827,470,307,440,282,17200,1520
Opponent Total,Chelsea,19048,2792,7589,7704,3989,734,19042,605,257,42.5,259,42.8,10447,57474,29271,561,380,166,439,296,12093,1116
Dean Henderson,Crystal Palace,1242,1009,1237,4,1,1,1242,0,0,,0,,715,4262,2027,0,0,0,2,0,549,0
Tyrick Mitchell,Crystal Palace,1692,108,585,656,464,43,1692,34,14,41.2,16,47.1,787,3595,1629,56,33,9,36,30,874,169
Daniel Muñoz,Crystal Palace,1927,114,538,793,616,101,1927,54,21,38.9,31,57.4,766,3834,1691,57,37,18,52,19,922,199
Marc Guéhi,Crystal Palace,2131,312,1052,942,148,39,2131,15,12,80.0,2,13.3,1141,5570,2931,22,17,1,16,18,1330,10
Maxence Lacroix,Crystal Palace,1851,334,1120,654,84,45,1851,14,8,57.1,4,28.6,989,4658,2148,8,5,0,21,5,1093,7
Jean-Philippe Mateta,Crystal Palace,717,25,59,341,331,92,715,45,20,44.4,21,46.7,386,2048,961,41,20,10,70,43,524,120
Eberechi Eze,Crystal Palace,1382,15,183,647,587,92,1380,133,64,48.1,61,45.9,819,4970,2321,67,48,21,55,44,889,150
Ismaila Sarr,Crystal Palace,1033,44,169,386,488,130,1033,56,17,30.4,30,53.6,570,3512,1970,71,43,27,66,42,702,175
Jefferson Lerma,Crystal Palace,1311,97,411,678,232,28,1311,12,6,50.0,4,33.3,612,2314,1041,12,10,0,15,17,767,26
Will Hughes,Crystal Palace,1145,43,271,585,301,15,1145,15,4,26.7,7,46.7,499,2542,1155,19,22,1,20,27,629,26
Chris Richards,Crystal Palace,1044,118,556,421,73,19,1044,6,1,16.7,5,83.3,491,2221,941,6,5,0,5,5,584,2
Adam Wharton,Crystal Palace,871,30,204,462,212,11,871,10,2,20.0,8,80.0,430,2014,1078,14,23,2,17,13,533,11
Daichi Kamada,Crystal Palace,877,19,190,460,234,31,877,16,6,37.5,8,50.0,444,2154,1045,24,19,5,16,19,560,54
Trevoh Chalobah,Crystal Palace,594,66,275,276,51,14,594,10,6,60.0,2,20.0,278,1213,661,11,9,1,4,7,317,6
Eddie Nketiah,Crystal Palace,379,10,41,161,184,64,379,21,10,47.6,8,38.1,226,1585,821,39,22,14,33,16,275,72
