id,player_name,team,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
207,Joel Ward,Crystal Palace,1,0,0,4,0,0,0,0,0,7,1,0,100
208,Jeffrey Schlupp,Crystal Palace,0,0,0,1,0,0,0,0,0,6,3,4,42.9
209,Matheus França,Crystal Palace,0,0,0,0,0,0,0,0,0,3,1,2,33.3
210,Jordan Ayew,Crystal Palace,1,0,0,1,0,0,0,0,0,1,1,1,50
211,Caleb Kporha,Crystal Palace,0,0,0,0,0,0,0,0,0,1,0,1,0
212,Asher Agbinone,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,1,0
215,Jordan Pickford,Everton,7,0,0,0,7,0,0,0,0,36,5,1,83.3
216,Vitaliy Mykolenko,Everton,4,0,0,22,34,3,0,1,0,88,47,37,56
217,Idrissa Gana Gueye,Everton,9,0,0,55,46,0,0,0,0,194,24,15,61.5
218,James Tarkowski,Everton,6,0,0,35,28,2,0,1,0,98,102,33,75.6
219,Abdoulaye Doucouré,Everton,5,1,1,49,5,10,0,0,0,150,30,44,40.5
220,Iliman Ndiaye,Everton,3,0,0,24,52,5,0,0,0,172,6,19,24
221,Jarrad Branthwaite,Everton,4,0,0,12,18,1,0,0,0,93,61,42,59.2
222,Jack Harrison,Everton,0,0,0,13,28,4,1,0,0,73,4,28,12.5
223,Ashley Young,Everton,7,1,0,30,22,0,0,0,0,75,10,11,47.6
224,Dominic Calvert-Lewin,Everton,2,0,0,27,23,27,0,0,0,35,85,81,51.2
225,James Garner,Everton,5,0,0,20,15,0,0,0,0,73,11,13,45.8
226,Jake O'Brien,Everton,5,0,0,13,5,3,0,0,0,52,41,30,57.7
227,Beto,Everton,2,0,0,33,23,16,0,0,0,40,99,105,48.5
228,Dwight McNeil,Everton,1,0,0,6,18,1,0,0,0,76,3,17,15
229,Jesper Lindstrøm,Everton,2,0,0,15,10,1,0,0,0,70,6,12,33.3
230,Orel Mangala,Everton,2,0,0,24,17,2,0,0,0,49,6,8,42.9
231,Michael Keane,Everton,5,0,0,9,0,0,0,0,0,26,26,20,56.5
232,Carlos Alcaraz,Everton,4,0,0,13,12,1,0,0,0,37,14,8,63.6
233,Tim Iroegbunam,Everton,4,0,0,15,12,0,0,0,0,51,11,4,73.3
234,Armando Broja,Everton,1,0,0,6,4,3,0,0,0,9,18,21,46.2
235,Nathan Patterson,Everton,1,0,0,6,1,0,0,0,0,12,1,7,12.5
236,Séamus Coleman,Everton,1,0,0,0,1,0,0,0,0,7,2,1,66.7
237,Roman Dixon,Everton,0,0,0,0,0,0,0,0,0,6,0,3,0
238,Harrison Armstrong,Everton,1,0,0,2,2,0,0,0,0,2,0,2,0
239,Youssef Chermiti,Everton,1,0,0,1,1,2,0,0,0,0,2,1,66.7
240,Mason Holgate,Everton,0,0,0,0,0,0,0,0,0,0,0,1,0
243,Bernd Leno,Fulham,5,0,0,0,4,0,0,0,0,50,9,1,90
244,Antonee Robinson,Fulham,8,0,0,31,20,7,0,0,0,157,50,26,65.8
245,Alex Iwobi,Fulham,1,0,0,19,18,5,0,0,0,140,7,31,18.4
246,Calvin Bassey,Fulham,7,0,0,26,32,2,0,0,0,168,43,33,56.6
247,Raúl Jiménez,Fulham,4,0,0,39,41,15,1,0,0,80,91,99,47.9
248,Joachim Andersen,Fulham,6,1,0,18,19,0,0,1,1,122,70,39,64.2
