id,player_name,team,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
256,Issa Diop,Fulham,6,0.4,5,0,0,1,0,0,0,0,0,0,0,0,0,0
257,Harry Wilson,Fulham,44,3.41,30,6,0,5,2,1,3,0.23,2,0,0,0,1,0
258,Rodrigo Muniz,Fulham,17,1.59,10,0,2,2,2,1,2,0.19,1,0,1,0,0,0
259,Ryan Sessegnon,Fulham,24,3.72,20,0,1,2,1,0,4,0.62,4,0,0,0,0,0
260,Reiss Nelson,Fulham,31,5.73,21,2,3,4,0,1,1,0.18,1,0,0,0,0,0
261,Jorge Cuenca,Fulham,1,0.26,1,0,0,0,0,0,0,0,0,0,0,0,0,0
262,Tom Cairney,Fulham,33,4.71,28,2,0,2,1,0,3,0.43,3,0,0,0,0,0
263,Willian,Fulham,17,5.93,11,4,0,2,0,0,0,0,0,0,0,0,0,0
264,Joshua King,Fulham,8,5.54,6,0,1,1,0,0,2,1.38,2,0,0,0,0,0
265,Harrison Reed,Fulham,1,0.89,0,1,0,0,0,0,0,0,0,0,0,0,0,0
266,Martial Godo,Fulham,1,3.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Carlos Vinícius,Fulham,2,11.25,0,0,1,0,1,0,0,0,0,0,0,0,0,0
268,Jay Stansfield,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
