id,player_name,team,total_shots,shots_on_target,shots_on_target_percent,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_fks,pk_scored,pk_attempted,xg,npxg,npxg_per_shot,goals_xg_diff,np_goals_npxg_diff,goals,non_pk_goals
32,Ollie Watkins,Aston Villa,82,36,43.9,2.84,1.25,0.17,0.39,12.1,0,2,2,15.3,13.8,0.17,0.7,0.2,16,14
33,Lucas Digne,Aston Villa,13,3,23.1,0.5,0.11,0,0,22.7,5,0,0,0.8,0.8,0.06,-0.8,-0.8,0,0
34,John McGinn,Aston Villa,31,5,16.1,1.26,0.2,0.03,0.2,17,1,0,0,3.1,2.8,0.09,-2.1,-1.8,1,1
35,Matty Cash,Aston Villa,13,6,46.2,0.57,0.26,0.08,0.17,18.8,0,0,0,0.5,0.5,0.04,0.5,0.5,1,1
36,Pau Torres,Aston Villa,8,2,25,0.36,0.09,0,0,11.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5,0,0
37,Boubacar Kamara,Aston Villa,10,3,30,0.52,0.16,0.1,0.33,19.6,0,0,0,0.8,0.8,0.08,0.2,0.2,1,1
38,Amadou Onana,Aston Villa,17,6,35.3,0.95,0.33,0.18,0.5,14.7,0,0,0,2.1,2.1,0.12,0.9,0.9,3,3
39,Jacob Ramsey,Aston Villa,19,4,21.1,1.05,0.22,0.05,0.25,16.8,0,0,0,1.6,1.6,0.08,-0.6,-0.6,1,1
40,Leon Bailey,Aston Villa,28,6,21.4,2.21,0.47,0.04,0.17,17.3,2,0,0,1.7,1.7,0.06,-0.7,-0.7,1,1
41,Tyrone Mings,Aston Villa,9,1,11.1,0.72,0.08,0,0,11.8,0,0,0,0.8,0.8,0.09,-0.8,-0.8,0,0
42,Ian Maatsen,Aston Villa,19,5,26.3,1.5,0.4,0.05,0.2,22.1,0,0,0,0.9,0.9,0.05,0.1,0.1,1,1
43,Marco Asensio,Aston Villa,22,9,40.9,2.66,1.09,0.14,0.33,19.6,1,0,2,4.4,2.9,0.13,-1.4,0.1,3,3
44,Diego Carlos,Aston Villa,4,1,25,0.43,0.11,0,0,6.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6,0,0
45,Axel Disasi,Aston Villa,2,0,0,0.37,0,0,0,19.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,0,0
46,Lamare Bogarde,Aston Villa,1,1,100,0.19,0.19,0,0,20.2,0,0,0,0,0,0.04,0,0,0,0
47,Andrés García,Aston Villa,2,0,0,0.57,0,0,0,26.6,0,0,0,0,0,0.02,0,0,0,0
48,Jáder Durán,Aston Villa,31,15,48.4,4.37,2.12,0.23,0.47,15.6,0,0,0,4.9,4.9,0.16,2.1,2.1,7,7
49,Marcus Rashford,Aston Villa,18,5,27.8,3.65,1.01,0.06,0.2,19.4,2,1,1,3.1,2.3,0.13,-1.1,-1.3,2,1
50,Ross Barkley,Aston Villa,16,5,31.3,2.48,0.77,0.19,0.6,14.2,0,0,0,1.8,1.8,0.11,1.2,1.2,3,3
51,Jaden Philogene Bidace,Aston Villa,7,0,0,1.9,0,0,0,16,0,0,0,0.5,0.5,0.07,-0.5,-0.5,0,0
